"Entity","Correct entity type"
"Ferroptosis","biological process"
"Apoptosis","biological process"
"Cancer","disease"
"GPX4","protein"
"system Xc-","protein complex / transporter"
"SLC7A11","gene/protein"
"SLC3A2","gene/protein"
"GSH","metabolite"
"ROS","reactive species"
"iron","element"
"MDA","metabolite"
"ALOX","enzyme"
"PHD","enzyme"
"PUFAs","lipid class"
"phospholipids","lipid"
"cardiolipin","lipid"
"phosphatidylcholine","lipid"
"phosphatidylethanolamine (PE)","lipid"
"PTGS2 / COX2","enzyme"
"ACSL4","gene/protein"
"NFE2L2 / NRF2","gene/protein"
"ESCRT-III","protein complex"
"HMGB1","protein"
"RAGE","receptor protein"
"NF-B","transcription factor"
"p53","protein"
"SAT1","gene/protein"
"ALOX15","gene/protein"
"IREB2","gene/protein"
"ferritin","protein"
"transferrin","protein"
"erastin","drug"
"RSL3","drug"
"sorafenib","drug"
"sulfasalazine","drug"
"artesunate","drug"
"doxorubicin","drug"
"melanoma","disease"
"pancreatic cancer","disease"
"prostate cancer","disease"
"non-small cell lung cancer","disease"
"breast cancer","disease"
"colon cancer","disease"
"leukemia","disease"
"lymphoma","disease"
